Index	BlockID
1005	blk_-2885472991485370470
1671	blk_-7921659164213517879
1575	blk_1411999831358489890
1203	blk_-692455515691889951
319	blk_3773175982840243163
14	blk_-5818292482296493161
1646	blk_2759294134694174630
1555	blk_5549342845058458932
275	blk_-5055852334619359733
493	blk_8605880401261411942
602	blk_-2225340527391032251
870	blk_-284526503825588993
445	blk_-894241108229743603
1157	blk_-5179297212758325412
408	blk_6887394287203115180
495	blk_3799258160297281146
1243	blk_-7533117850390472375
84	blk_-8375051714897393082
1549	blk_6547101776261460606
398	blk_-1341132418011897567
1801	blk_8747332159071656449
612	blk_4037636197898217849
394	blk_3130045724556111923
1733	blk_-1318739626003504251
853	blk_3656444598051367384
912	blk_-8185437276602172560
572	blk_184223187108666300
387	blk_4808197513528017199
269	blk_8613930398445474188
1970	blk_-1540918726585079509
841	blk_-1703001761397374099
61	blk_4420018495160823280
855	blk_-2555464059964830136
261	blk_-3963421631487916119
1559	blk_3865555176431958509
1927	blk_5211557387710563447
1878	blk_-2533043347237496869
1136	blk_-8476953667378714252
1231	blk_-6699705106960711332
914	blk_-5248113953235568953
686	blk_3180220005765545389
799	blk_-6691736323879853060
796	blk_5473113327422514200
673	blk_-6827850154134598609
429	blk_4234940318764357129
885	blk_1818872201162340398
35	blk_-4260185471948766378
272	blk_-2305233955286127352
1903	blk_2443376361584074819
1326	blk_8247681721748487783
1996	blk_3688423264545542717
1455	blk_7175807187688077184
531	blk_-1477845311466168709
1021	blk_5265635093062882543
1612	blk_6559514341422771562
1033	blk_-3446448367406507003
137	blk_-2714110255945035599
85	blk_4562743271819605637
1097	blk_4605933685564970754
437	blk_-3541754856220807953
1871	blk_5836892609694718849
1041	blk_-3664196802410847128
86	blk_8805645891744629113
522	blk_2146562540703794918
1372	blk_-5050480942039139056
289	blk_-6265393788680239736
105	blk_-7712428102407038733
201	blk_-8587700809420464361
616	blk_-1049101755266235254
798	blk_1566615560031873040
675	blk_-8287683976289154474
591	blk_8504776051890348225
1724	blk_2807326319774315220
1711	blk_-8690451368448587392
868	blk_-3138733895883780100
173	blk_1805580147572992570
1908	blk_-2172898882813767681
1486	blk_1446357208022251845
525	blk_-2914856288300385786
617	blk_4430073084224643305
28	blk_-6145202243619949654
879	blk_-5569420135899430895
1110	blk_-6049809885725343376
456	blk_5842686736644090925
569	blk_-1159190058919196985
564	blk_-4389545475139909110
26	blk_-1680684488967708840
1950	blk_8410482780102804529
714	blk_5274173422751608469
892	blk_-3435197593793486626
1332	blk_2984693252027715374
527	blk_2038128616376830647
947	blk_-3182531763831171773
528	blk_-1587061298935216851
769	blk_6422340099415876417
774	blk_-7620699188065221671
1211	blk_-4321681401846266944
450	blk_-7214911020642868508
1572	blk_-2772072314294630031
1184	blk_6404808877145280520
1472	blk_-5556491800262475509
601	blk_2482680575156343271
1879	blk_-418965690467116411
1683	blk_-3587587813984726692
719	blk_4727877246585491534
1415	blk_-1536108284177783075
558	blk_-8777708907945704393
244	blk_3320940832847017458
1480	blk_5415951220949435846
787	blk_-3407439108442061206
1751	blk_-3008253531935540372
426	blk_4854333955727490152
1253	blk_-425203785064975242
1215	blk_6770516576292158179
928	blk_1609989588898520808
579	blk_-2628417318808344729
876	blk_8636624039492044675
1142	blk_-5617645276865719759
1890	blk_-2454705894532324228
21	blk_3755480607574789816
353	blk_-7288126732763022405
858	blk_5317717313230357853
1863	blk_7777906351191162724
1290	blk_7876078356037948508
1841	blk_-6301530100403270010
1784	blk_-5497933679827424661
1234	blk_3025848605845758050
1413	blk_-3262961734279196864
1832	blk_-8133295399055649487
1647	blk_-2560033555333134703
1335	blk_-7118703655100680020
871	blk_7791072477759365971
458	blk_-9193908872830870813
491	blk_-4169952452140905663
987	blk_7474598547576030428
908	blk_4706414855850050364
499	blk_5838753923238572760
513	blk_7052445933542313984
1926	blk_-7506646634930749510
887	blk_803125993243920330
1984	blk_-1549925821408991128
55	blk_-8509133323606279215
1307	blk_-1300716748882215780
1185	blk_-6823796755790850509
1024	blk_-5583503068631708140
225	blk_6877956967792271322
648	blk_-8938716863738676686
943	blk_-1627944872109266261
1919	blk_5504513935716865373
1799	blk_4284932281931609172
1500	blk_284855002312857742
8	blk_5239089230971949277
1132	blk_-4123914140916203098
1923	blk_-1591079223492089992
1193	blk_-3730884507461971020
177	blk_1689216277148776314
1256	blk_-5974423116073495207
149	blk_-6743411691339443957
1488	blk_3737814612978062684
1282	blk_-4593199411261888065
1002	blk_7679744587043696620
1072	blk_-7002691756222113598
882	blk_7793078660886112981
1495	blk_9103557692312647288
369	blk_-5600461550210002929
196	blk_7673473135847489309
1439	blk_-1949239465562732556
1023	blk_-1084262169055724981
166	blk_-4014770338428832882
963	blk_-728855383385653043
635	blk_3556938468739305018
1561	blk_3000205621041063979
